X,Y,OBJECTID,PORTFOLIO_MANAGER_ID,STREET_ADDRESS,PROPERTY_NAME,OPA_ACCOUNT_NUM,ZIP_CODE,NUM_OF_BUILDINGS,YEAR_BUILT,PRIMARY_PROP_TYPE_EPA_CALC,OPA_SQUARE_FOOTAGE,ELECTRICITY_USE_KBTU,NATURAL_GAS_USE_KBTU,FUEL_OIL_02_USE_KBTU,STEAM_USE_KBTU,ENERGY_STAR_SCORE,SITE_EUI_KBTUFT2,SOURCE_EUI_KBTUFT2,WATER_USE_ALL_KGAL,TOTAL_GHG_EMISSIONS_MTCO2E,NOTES,X_COORD,Y_COORD
-75.15570068359375,39.945190429687507,16,2561862,800 Spruce St,Pennsylvania Hospital,"771002000;771003000",19104,9,1756,Hospital (General Medical & Surgical),873226,98817354.52,1236935.646000,,128000000000,1,146263.600000,176141.600000,68239.1,8483926.700000,,-75.15570798,39.94511291
-75.15380859375,39.946411132812493,17,3673215,230 S. 7th St,Farm Journal,771005500,19107,1,1910,Medical Office,102855,11122256.76,8254.260140,,12796363950,1,124519.900000,149975.200000,12341.1,850786.300000,,-75.15389542,39.94634107
-75.1732177734375,39.944396972656243,18,3306120,1844 South. St,Tuttleman Building,772036205,19146,1,1989,Medical Office,74460,8059546.616,,,5948392050,1,79995.300000,96410.500000,3693.1,395780.800000,,-75.17322196,39.9443572
-75.154296875,39.946594238281243,19,3107955,251 south 8th st,Hall Mercer at PAH,771004000,19106,1,1980,Medical Office,70902,4300481.388,58.478990,,4659426911,1,65777.100000,79229.400000,1416.4,309814.700000,,-75.15432755,39.94652988
-75.172607421875,39.94500732421875,20,3117180,1800 Lombard St,Penn Medicine At Rittenhouse,772032010,19146,1,1980,Hospital (General Medical & Surgical),272165,25126387.68,674573.045000,,12444265380,1,45818,55268,14065.9,828862.300000,,-75.17265765,39.944834
-75.14337158203125,39.947814941406243,21,7672055,114-24 S. Front Street,AutoPark @ Olde City,Not Available,19106,1,1980,Parking,100,3699873.852,,,,,36998.700000,103596.500000,1032,374.800000,,-75.14340748,39.94758774
-75.193603515625,39.956604003906243,22,1339876,3535 Market Street,3535 Market,883073000,19104,1,1973,Medical Office,494608,15781755.62,,,5293078128,1,10733.500000,12963.800000,3179,353051.300000,,-75.19366174,39.95653656
-75.1607666015625,39.951416015625,23,3137016,1212 Ludlow St,Connelly House,886717500,19107,1,2010,Multifamily Housing,60000,2633351.916,179392972.700000,,,1,3033.800000,3262.300000,3208.8,9528.400000,,-75.16084358,39.95117901
-75.1785888671875,40.031005859374993,24,3810865,200 W. Chelten Ave,Burgess Center,882938075,19141,2,1990,Retail Store,83000,919044.7192,113717010,,,,1381.200000,1469.600000,2433.2,6133.200000,,-75.17860337,40.03080093
-75.1314697265625,39.99981689453125,25,4781184,167 W Allegheny Avenue,Villas Del Caribe,886606700,19140,62,1997,Multifamily Housing,107551,2312897.558,115214268.800000,,,1,1211.900000,1314.200000,6861.9,6353.900000,,-75.13153597,39.99970876
-75.22308349609375,39.888000488281243,26,4964605,8200 Enterprise Ave,Southwest WPCP,783131000,19153,1,1975,Wastewater Treatment Plant,220000,220742035.5,,,,94,1003.400000,2809.400000,5437.5,22363.700000,,-75.22317245,39.88793022
-75.14678955078125,39.905029296874993,27,4964606,100 Packer Ave/25 E Pattison Ave,Southeast WPCP,781358000,19148,1,1900,Wastewater Treatment Plant,80064,63502813.32,12383200.980000,,,99,947.800000,2383.200000,60079.4,7091.300000,,-75.1467845,39.9048488
-75.1549072265625,39.979431152343736,28,3979390,"13th St., 1800 block",STUDENT CTR II,777569000,19122,1,2000,College/University,86182,6295416.372,,,47249145.200000,,786.100000,1014,1863,4523.400000,,-75.15495696,39.97929935
-75.0009765625,40.102416992187493,29,3681375,11701 Roosevelt Blvd,Pepsi Bottling Group,884269000,19154,2,1969,Manufacturing/Industrial Plant,228920,175183817.3,,,,,765.300000,2142.700000,84500.7,17748.100000,,-75.00095702,40.10228263
-75.173095703125,39.958435058593757,30,3884233,222 N 20th St,Franklin Institute,782779400,19103-1115,1,1932,Museum,330000,29339214.78,221600126.300000,0,,,760.400000,954,8944.2,14742.600000,,-75.17317444,39.95821599
-75.08209228515625,39.988037109374993,31,4950952,3895 Richmond St,Northeast WPCP,884463045,19137,1,1944,Wastewater Treatment Plant,240000,65073936.96,81659544.370000,0,,100,611.400000,1116.500000,80644.8,10930.100000,,-75.08215485,39.98778219
-75.15411376953125,39.98223876953125,32,3969866,1900 N. 12TH,BIOLOGY,777570400,19122,1,2000,College/University,168651,19403385.48,1400.428186,,41988865.800000,,600,836.400000,10313.8,6851.600000,,-75.15412058,39.98205879
-75.15191650390625,40.0037841796875,33,3956649,3307 N. Broad St.,PNAH,777528500,19140,1,2000,College/University,169976,21188731.54,1627.129106,,55905596.200000,,557.400000,839.200000,20568.4,6788.500000,,-75.15194171,40.00367833
-75.2149658203125,39.974792480468743,34,3501878,4700 West Jefferson Street,#287-West Philadelphia,884897402,19131,0,2009,Manufacturing/Industrial Plant,57471,5208076.8,26088139.750000,,,,544.600000,730.400000,16794.8,1913.300000,,-75.21505305,39.97473903
-75.1524658203125,40.005615234375,35,3958443,3400 N. Broad Street,MEDICAL RESEARCH BLDG,777531000,19140,1,2000,Other,117180,11860214.36,0,,19333654.300000,,517.900000,710.900000,7066.2,4039.400000,,-75.15253916,40.00548501
-75.21160888671875,39.932006835937507,36,5992102,53rd & Schuylkill,Bartram Gardens,885716200,19145,1,2000,Office,2045,1033839.753,,0,,1,505.500000,1415.500000,268,104.700000,,-75.2116691,39.93179843
-75.03387451171875,40.111999511718743,37,3507914,10080 Sandmeyer Lane,#061 Philadelphia,884237607,19116,1,1984,Manufacturing/Industrial Plant,57471,3791414.4,22267499.950000,,,,453.400000,591.500000,19522,1566.800000,,-75.03387602,40.11190309
-75.09320068359375,40.018188476562493,38,3667832,1100 Orthodox Street,Orthodox Facility,884091500,19124,0,1960,Manufacturing/Industrial Plant,114000,24147024.26,26679300.470000,,,,445.800000,838.800000,397.8,3863.400000,,-75.09328021,40.01798411
-75.17437744140625,39.963012695312486,39,7065543,2101 Pennsylvania Avenue,R Investment Five LP,882017900,19130,0,2016,Supermarket/Grocery Store,55000,13941814.14,9934977.880000,,,6,434.100000,899.400000,4797.4,1940.200000,,-75.17443198,39.96283345
-75.152099609375,40.007202148437493,40,3958448,3500 N Broad Street,MERB,777532000,19140,1,2000,College/University,485000,41169157.88,7581.559765,,99912894,,429.200000,611.400000,23875.7,14340.700000,,-75.15222537,40.00697807
-75.15411376953125,39.98223876953125,41,3965856,1901 N. 13TH,BEURY,777570400,19122,1,2000,College/University,174700,15260453.2,1777.765388,,25754784.100000,,414.900000,585.800000,2170.1,4914.100000,,-75.15412058,39.98205879
-75.11700439453125,40.01202392578125,42,3929883,520 E. Hunting Park Avenue,"Original Philly Holdings, Inc.",88405240,19124,1,1955,Manufacturing/Industrial Plant,76000,24081210.19,7109885.432000,,,1,410.400000,985.400000,6847.3,2817.300000,,-75.11706653,40.01177328
-75.15380859375,39.983642578125,43,3983812,2020 N. 12th Street,NEW TYLER SOA,777570600,19122,1,2000,College/University,233240,19016942.36,505314.840000,,38885050,,403.800000,560.900000,3090.7,6673.900000,,-75.15379203,39.98354649
-75.08758544921875,40.071228027343743,44,3890837,7600 Central Avenue,Jeanes Hospital,778024500,19111,12,1926,Hospital (General Medical & Surgical),551473,59981629.32,148102771.900000,12615418.700000,,,400.200000,609.600000,145072.6,14879.400000,,-75.0876259,40.07101501
-75.0181884765625,40.030639648437507,45,4830353,8201 State Rd,Detention Center,786504751,19136,1,1963,Prison/Incarceration,108960,13148670.86,29666213.220000,0,,,392.900000,623.800000,47604.4,2907.800000,,-75.01819542,40.03047052
-75.152587890625,39.98162841796875,46,4426032,1935 N 12th St.,Science Education and Research Center (SERC),777568800,19122,1,2014,College/University,255183,22316049.52,331.428588,,41191626.400000,,389.400000,566.900000,2659.3,6885.900000,,-75.15261312,39.98150887
-75.2415771484375,39.902587890625,47,1973980,2946 Island Avenue,Shop Rite of Island Avenue,882090000,19153,1,1995,Supermarket/Grocery Store,59502,12171207.92,9858432.240000,,,35,370.200000,746.700000,2352.4,1756.700000,,-75.2416347,39.90242979
-75.15789794921875,39.949829101562493,48,3635424,111 South11th Street,Gibbon Building,771013000,19107-5098,1,1978,Hospital (General Medical & Surgical),778752,84285100.6,303183.009000,,89374361.900000,21,367,572.200000,49274.9,20384.300000,,-75.15793701,39.94971718
-74.99267578125,40.090209960937493,49,3668376,10801 Decatur Rd.,David Michael and Co Inc,884279500,19154,0,1970,Manufacturing/Industrial Plant,106420,11934804.09,26757379.710000,,,,363.600000,578,,2630.300000,,-74.99273176,40.09004398
-75.1597900390625,40.04364013671875,50,3619999,5301 Chew Avenue,Fresh Grocer,122226915,19138,1,2009,Supermarket/Grocery Store,50000,9391011.376,8469129.891000,,,29,357.200000,703.700000,1934.1,1401.300000,,-75.15979091,40.04339999
-75.0740966796875,40.031188964843743,51,2705460,6000 Penn Street,Comly Depot,884353910,19149,1,1921,Other - Public Services,105000,4769976,32008811.030000,0,,,350.300000,447.300000,5261,2183.400000,,-75.07418349,40.03099101
-74.98309326171875,40.071411132812493,52,5763567,10800 Knights Road,Torresdale Hospital,778017000,19114,1,1970,Hospital (General Medical & Surgical),547572,42719809.52,149005473,,,18,350.100000,504.200000,43257.5,12242.400000,,-74.98307007,40.07117033
-75.1405029296875,39.9674072265625,53,5074150,1022 N 2nd St,Liberties Walk Block 1 & 2,881006640,19123,1,2006,Multifamily Housing,68693,3116299.02,20564894.980000,,,1,344.700000,441.400000,5087.7,1408,,-75.14048714,39.96715289
-75.2144775390625,40.00604248046875,54,3681504,4100 City Avenue,WPVI-TV,883080200,19131,1,2009,Office,69698,23207963.38,722303.983900,,,1,343.300000,943.200000,3558.5,2389.600000,,-75.21448818,40.00579354
-75.1607666015625,39.96002197265625,55,3830317,401 North Broad,401 North Broad Lessee LLC,883028250,19108,1,1929,Data Center,1429665,472096262,1188.009833,12085819.400000,,,338.700000,933.100000,5792.5,48725.700000,,-75.16083766,39.9598223
-75.15789794921875,39.949829101562493,56,3641702,117 South 11th Street,Foerderer Pavilion,771013000,19107-4998,1,1954,Hospital (General Medical & Surgical),233930,19826074.28,307.800004,,31293543.400000,40,334.900000,504.100000,14263.9,5520.600000,,-75.15793701,39.94971718
-75.0921630859375,39.99462890625,57,3782900,3745 Aramingo Avenue,ShopRite of Aramingo Avenue,882059425,19137,1,1995,Supermarket/Grocery Store,74888,15634940.67,8801276.214000,,,51,326.300000,708,2592.4,2051.500000,,-75.09225165,39.9945114
-75.15618896484375,39.98101806640625,58,3979395,1801 N. 13TH,SPEAKMAN,777509000,19122,1,2000,College/University,110605,5353192.572,54.818179,,9422658.400000,,321.600000,409.100000,657.7,2263.700000,,-75.15620977,39.9807969
-75.15618896484375,39.98101806640625,59,3983897,1810 Liacouras Walk,1810 LIACOURAS WALK,777509000,19122,1,2000,College/University,102740,1538125.164,,,17275963.300000,,320.900000,398.800000,1143.9,1573.400000,,-75.15620977,39.9807969
-75.1685791015625,40.004394531249993,60,6396002,2325 -2339 W Allegheny Ave,Fox Street LLC,Not Available,19129,1,1920,Distribution Center,5056,930892.548,684662.991700,,,1,319.500000,657.700000,157.5,130.700000,,-75.16866885,40.0043351
-74.99676513671875,40.0858154296875,61,3687914,10450 Drummond Road,"Arbill Industries, Inc.",884284000,19154,1,1968,Distribution Center,98721,3164.9712,31456805.540000,,,1,318.700000,334.700000,1292.2,1671.100000,,-74.99680118,40.08568905
-75.1925048828125,39.947814941406243,62,2848414,3400 Civic Center Blvd,Center for Advanced Medicine,773740100,19104,3,2005,Laboratory,1651601,239996088,,,247185869.600000,,318,607.900000,128074.8,42735.500000,,-75.19252698,39.9475935
-75.15069580078125,39.962036132812493,63,5250071,711-39 Spring Garden St,Guild House East,881420116,19123,1,1963,Multifamily Housing,66000,346516.5784,20588359.200000,,,1,317.200000,342.200000,4103.2,1128.700000,,-75.15070731,39.96180522
-75.17596435546875,39.9072265625,64,3638081,One Lincoln Financial Field Way,Lincoln Financial Field,788023020,19148,1,2003,Stadium (Open),1723000,52154603.68,,,,,313,876.500000,22495.4,5283.900000,,-75.17603037,39.90705658
-75.18487548828125,39.952636718749986,65,7104505,125 South 31st Street,Translational Research Lab at University of Pennsylvania,773717110,19104,1,1948,Office,125000,38808258.6,170730.010100,,,1,311.800000,870.700000,10887.1,3940.800000,,-74.99370151,39.952538
-75.15631103515625,39.947998046874993,66,3641686,900 WALNUT STREET,JHN Building,771006900,19107,1,1980,Hospital (General Medical & Surgical),235648,27355450.69,820.799994,,30223841,51,308.400000,537.700000,10361.3,5574.100000,,-75.15628424,39.94778612
-75.15069580078125,40.00543212890625,67,3997483,"Rock, Park Ave, Parkinson",TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK,"777014000, 777556000, 777532901",19140,1,2000,Hospital (General Medical & Surgical),855189,139174217.6,224854.293300,,124341209.800000,7,308.400000,630.900000,41787.4,22367.900000,,-75.1507447,40.0052375
-75.169189453125,39.92120361328125,68,3656490,2301 South Broad Street,Methodist Hospital,771010000,19148,1,1888,Hospital (General Medical & Surgical),312144,38836373.48,56370500.100000,,,15,305,538,5484,6928.700000,,-75.16925894,39.92112642
-75.1676025390625,39.955383300781243,69,3512076,1631 ARCH ST,CO/GLC 11310/1631 ARCH ST/PHILADELPHIA/PA,772614000,19103,1,1905,Other - Technology/Science,160661,42768908.2,,,5992853.300000,,303.500000,790.300000,2518,4730.900000,,-75.16769232,39.95527404
-75.15380859375,39.983642578125,70,3963378,2001 N. 13TH,PRESSER,777570600,19122,1,2000,College/University,54792,2147331.282,,,9156116.100000,,301.700000,397.600000,1178,1100.900000,,-75.15379203,39.98354649
-75.21380615234375,40.002624511718736,71,6389107,4160 Monument Rd.,Monument Ave Fresh Grocer,882092500,19131,1,1960,Supermarket/Grocery Store,56615,8525810.064,8531513.817000,,,36,301.300000,579.900000,1939.5,1316.900000,,-75.2138368,40.00237114
-75.15228271484375,40.00604248046875,72,3995355,3440 N. Broad Street,KRESGE SCIENCE HALL,777531100,19140,1,2000,College/University,129260,7424938.5,1237.609957,,22815425.100000,,299,432.400000,4613.9,2710.200000,,-75.15232222,40.00589249
-75.19171142578125,39.956420898437493,73,3325211,3401 Market St.,3401 Market St.,883072000,19104,1,1930,Office,90817,6621763.936,149506.304100,,20234603.600000,1,297.400000,473.900000,769.3,2022.300000,,-75.19179617,39.95629808
-75.165283203125,39.9495849609375,74,6313492,1430 Walnut Street,1430 Walnut Street,882037110,19102,1,2015,Mixed Use Property,61432,10404218.42,7781996.860000,,,,296,607.200000,4925.9,1467.400000,,-75.16535674,39.94939796
-75.2239990234375,39.978820800781243,75,1973985,5200 Jefferson Street,Shop Rite of Parkside Plaza,882920300A,19131,1,2008,Supermarket/Grocery Store,68325,10546539.77,9518928.630000,,,46,293.700000,578.500000,1693.8,1574.100000,,-75.22409192,39.97868367
-75.156982421875,39.947814941406243,76,3643298,951 Locust Street,Bluemle Life Science Building,771015010,19107-5541,1,1991,Laboratory,287286,44836170.76,16928.999840,,39075321.600000,,292.100000,600.700000,18721.5,7137.900000,,-75.1569663,39.9477041
-75.1864013671875,39.9197998046875,77,3875946,2301 Oregon Ave,Shoprite in South Philadelphia,882046400,19145,1,1990,Supermarket/Grocery Store,54388,11449839.47,4309262.649000,,,36,289.800000,672.700000,996,1388.900000,,-75.18639343,39.9195466
-75.19580078125,39.951416015625,78,3687631,3601 Spruce Street,The Wistar Institute,773542000,19104,1,1894,Laboratory,255427,42817699.8,33625.303690,,30736666.200000,,288.100000,614.300000,12240,6380.600000,,-75.19584597,39.95122649
-75.19580078125,39.95281982421875,79,1782595,3600 Walnut Street,Sansom Common,773566000,19104,1,1997,Hotel,259330,19330426.69,,,25449840,1,287.300000,431.100000,12497.7,5214.500000,,-75.19591157,39.95268921
-75.17578125,40.009826660156236,80,3966890,2800 Fox Street,ShopRite of Fox Street,882066190,19129,1,2013,Supermarket/Grocery Store,71134,12098317.37,9559938.130000,,,42,286.900000,581.700000,2130.1,1733.500000,,-75.17580691,40.00963469
-75.06201171875,40.051025390624986,81,5922753,2101-41 Cottman Ave.,299 - Cottman Avenue,882064855,19149,1,1996,Supermarket/Grocery Store,67305,13923519,4600778.309000,,,33,275.200000,651,1018.4,1655,,-75.06209305,40.05084085
-75.0181884765625,40.030639648437507,82,4830352,7901 State Rd,Curran Fromhold Correctional Facility,786504751,19136,1,1995,Prison/Incarceration,436250,52253654.04,66746288.150000,,,,272.800000,496,111883.9,8839.100000,,-75.01819542,40.03047052
-75.15618896484375,39.98101806640625,83,3983810,1819 N. BROAD ST.,WACHMAN HALL,77750900,19122,1,2000,College/University,130655,8316084.66,185.454553,,13722148.800000,,272.700000,399.300000,2763.1,2470.100000,,-75.15620977,39.9807969
-75.1929931640625,39.955810546874993,84,3667296,3500 Market Street,Monell Chemical Senses Center,773702000,19104,1,1970,Laboratory,60000,7782713.996,,,8580793.200000,,272.700000,535.200000,2191.9,1358.200000,,-75.19305871,39.95574319
-75.22747802734375,40.044189453124993,85,1973983,6901 Ridge Avenue,Shop Rite of Roxborough,882117000,19128,1,1990,Supermarket/Grocery Store,54844,9307922.352,5633892.795000,,,60,272.400000,583.100000,1328.1,1242.200000,,-75.22748823,40.04397768
-75.13897705078125,39.968811035156243,86,5923098,180 West Girard Avenue,291 - Girard Avenue,882932476,19123,1,2011,Supermarket/Grocery Store,51000,9977390.872,3862815.013000,,,37,271.400000,627.300000,938.5,1216,,-75.13905486,39.9686936
-75.19439697265625,40.072631835937493,87,5920982,7700 Crittenden Ave.,2833-Crittenden Avenue,882040300,19118,1,1972,Supermarket/Grocery Store,48210,9432112.328,3307754.607000,,,38,264.300000,619.900000,1089.9,1131.300000,,-75.19442862,40.07247306
-75.162109375,39.93218994140625,88,1260374,1400 Passyunk Ave,07726-10th & Reed,882080101,19145,1,1980,Supermarket/Grocery Store,49210,9204559.224,3777700.323000,,,36,263.800000,604.300000,727,1133.200000,,-75.16214725,39.93208829
-75.15557861328125,39.913208007812507,89,5921759,330 W Oregon Av,Colligas Family Markets,882087505,19148,1,1980,Supermarket/Grocery Store,58696,7789602.824,7633207.990000,,,65,262.800000,508.100000,2391.5,1194.600000,,-75.15557657,39.91314313
-75.2078857421875,39.947021484375014,90,3696901,4247 Woodland Ave,Griffith Hall,773500500,19104,1,1928,College/University,113332,5923276.356,23748621.720000,,,,261.800000,366.400000,2416.2,1861.500000,,-75.20794135,39.94679246
-75.1510009765625,40.006835937499986,91,3969865,BROAD && VENANGO,BOYER PAVILION,777533001,19140,1,2000,College/University,172000,10731262.04,,,39273655.800000,89,259.400000,328.400000,6221.2,5761.500000,,-75.15101572,40.00664445
-75.081298828125,40.020202636718743,92,5075386,4900 Frankford Ave,Frankford Hospital,"778010005; 884460955",19124,1,1987,Hospital (General Medical & Surgical),184065,21432263.04,25855200.480000,,,77,256.900000,473.500000,8353.4,3544.600000,,-75.08142504,40.01996519
-75.0447998046875,40.06060791015625,93,1260373,8200 Roosevelt Blvd,07725-Pennypack Circle,882067050,19152,1,2002,Supermarket/Grocery Store,50256,9022819.044,3793999.715000,,,64,255,582,934,1115.600000,,-75.04489646,40.06035247
-75.1519775390625,40.002624511718736,94,3955737,3223 N BROAD ST,DENTAL SCHOOL (ORIG),777527000,19140,1,2000,College/University,203374,21920523.66,1158.428046,,16173790.600000,,253,464.400000,28451.3,3914.800000,,-75.1520201,40.00235773
-75.18017578125,39.91741943359375,95,1260775,1901 Johnston Street,07715-Oregon & 19th,882351850,19145,1,2003,Supermarket/Grocery Store,49514,8633390.424,3868900.011000,,,48,252.500000,570.300000,956,1080.200000,,-75.18023932,39.91725669
-75.1597900390625,39.979797363281243,96,3966438,1710-50 N. 15th Street,ECEC,777573005,19122,1,2000,College/University,58020,4988081.276,13040.255860,,,,250.500000,409.400000,49.3,1059.700000,,-75.15978893,39.97972642
-75.03240966796875,40.096435546875,97,3762384,9896 Bustleton ave,Paul's Run,778038005,19115,4,1981,Senior Care Community,305853,18316970.56,57592291.100000,,,1,248.200000,365.400000,15389.2,4914.700000,,-75.0323841,40.09629202
-75.15850830078125,39.947204589843743,98,3643201,1020 Locust Street,Jefferson Alumni Hall,771016500,19107-6799,1,1968,Laboratory,455711,47187652.92,418402.821800,,65398488.900000,,248,463.500000,30592.3,9145.200000,,-75.15849345,39.94713175
-75.06280517578125,40.0360107421875,99,1260705,6601 Roosevelt Blvd.,07704-Harbison,882129500,19149,1,1980,Supermarket/Grocery Store,52380,9086695.096,3863700.010000,,,63,247.200000,563.200000,975,1125.800000,,-75.06289571,40.03590127
-75.1580810546875,39.94921875,100,3635906,132 S. 10th Street,Main Building,771020000,19107-5244,1,1906,Ambulatory Surgical Center,169807,10055143.53,1949.400056,,18814096.900000,84,247,369.100000,10393.6,2956.600000,,-75.15809633,39.94897026
-74.99371337890625,40.0802001953125,101,3669806,3200 Red Lion Rd,Acme at Academy Plaza,882097600,19114,1,1981,Supermarket/Grocery Store,50918,8702401.536,3797954.673000,,,39,245.500000,556.900000,615.3,1083.400000,,-74.99370151,40.08011326
-75.170166015625,39.926391601562493,102,3952478,1930 South Broad Street,Constitution Health Plaza,773010000,19145,5,1920,Medical Office,276000,19363089.76,48205732.520000,,,,244.800000,379.800000,2064.9,4522.100000,,-75.17023371,39.9263023
-75.2174072265625,40.004638671874993,103,3675619,4190 City Ave,Philadelphia College of Osteopathic Medicine,774010040,19131,4,1972,College/University,409268,27453313.67,72068907,,,,243.200000,372.700000,18167.1,6609.300000,,-75.21749639,40.00452432
-75.00360107421875,40.0472412109375,104,7771061,9001 Torresdale Ave,Lannett Company,884260600,19136,1,1966,Manufacturing/Industrial Plant,68000,11030484.2,5395733.964000,,,,241.600000,537.500000,543.1,1404.100000,,-75.00367351,40.04700919
-75.11798095703125,40.014038085937507,105,3697969,401-425 E Hunting Park Ave,401-425 E Hunting Park Ave,88418000,19124,1,1978,Manufacturing/Industrial Plant,112000,4503601.16,22481763.260000,,,,240.900000,323.400000,1130.8,1650.400000,,-75.11796912,40.01385589
-75.15631103515625,39.979003906249993,106,3958447,1301 C.B. MOORE,RITTER ANNEX,777540000,19122,1,2000,College/University,153050,5308635.264,,,16850326.600000,,236.400000,313,685.6,2396,,-75.15629187,39.97879212
-75.12921142578125,39.989990234374993,107,3584304,100 E. Lehigh Avenue,Temple Episcopal Hospital,777012000,19124,5,1928,Hospital (General Medical & Surgical),399596,31747001.77,62523980.230000,0,,54,235.900000,386.700000,18492,6537.300000,,-75.1292086,39.98982121
-75.156005859375,39.984008789062493,108,5032268,2029 N. BROAD,JOHNSON,777523500,19122,1,2000,Other,143177,21152595.05,1521830.716000,,10796788.600000,,233.800000,515.500000,4462.4,2940.700000,,-75.15605525,39.98386486
-75.19268798828125,39.940185546874993,109,3698642,2815 Grays Ferry Avenue,Grays Ferry Shopping Center,3698642,19146,2,1989,Strip Mall,83305,11343432.84,7926566.857000,,,,231.300000,481.200000,18651.2,1570.200000,,-75.19270388,39.93997716
-75.14508056640625,39.923217773437507,110,7137860,29 East Snyder Avenue,2771 - Snyder Ave,Not Available,19148,1,2017,Supermarket/Grocery Store,54415,7775446.436,4809916.880000,,,59,231.300000,492.900000,1510.2,1043.200000,,-75.14505434,39.92301283
-75.1580810546875,39.94921875,111,3632497,1020 Sansom Street,Thompson Building,771020000,19107-5004,1,1925,Hospital (General Medical & Surgical),171219,11825906.7,145178.994900,,15804381,89,230,367,,2866.400000,,-75.15809633,39.94897026
-75.194580078125,39.955383300781243,112,5964472,20 S. 36th Street,The Axis,881601401,19104,1,1900,Residence Hall/Dormitory,32818,3102065.521,2576321.152000,,1821241.600000,1,228.500000,413.900000,5921.8,572,,-75.19463887,39.9552328
-75.1842041015625,39.946411132812493,113,3862889,500 South 27th Street,PA0073 - MITSO,772616500,19146,1,1970,Other,369737,84360164.6,,,,,228.200000,638.900000,9794.1,8546.600000,,-75.18424936,39.94623444
-75.1580810546875,39.94921875,114,3641868,1025 Walnut Street,College Building,771020000,19107-4083,1,1928,College/University,191783,13736142.2,27702.002580,,18180442.200000,8,228,370.700000,8037.8,3221.200000,,-75.15809633,39.94897026
